Departmant,Item,Tdate,TypeID,Qty,Cost,Rate,DeptID,ItemID
SQGM,A D  25GM. CREAM,14/01/2020,2,1,1.669,1.808,5,8
HAIL,A 5 MG TAB,13/01/2020,2,13,1.128,1.218,3,1
NOV 18TH,A D  25GM. CREAM,17/02/2020,2,8,1.669,1.808,2,8
MARS,Emend,10/01/2020,2,15,0.342,0.42,8,9
SHELL,AL CREAM 15GM,02/02/2020,2,25,0.913,1.026,4,3
ALKHUWAIR,Panadol,17/02/2020,2,28,0.21,0.29,6,13
SHELL,Zoloft,27/01/2020,2,19,1.749,1.893,4,12
SHELL,A D  25GM. CREAM,12/01/2020,2,23,1.669,1.808,4,8
ALKHUWAIR,Zovirax,10/01/2020,2,26,1.774,1.897,6,15
W/SALE,Panadol,11/02/2020,2,5,0.21,0.29,9,13
NOV 18TH,AL CREAM 15GM,30/01/2020,2,2,0.913,1.026,2,3
NOV 18TH,Visine,07/02/2020,2,16,0.663,0.756,2,5
MARS,Risperdal,25/01/2020,2,5,0.975,1.07,8,18
MARS,A 5 MG TAB,03/01/2020,2,12,1.128,1.218,8,1
MSQ,Sebastian 20GM CREAM,12/01/2020,2,20,1.534,1.638,7,7
MSQ,BE PLUS 30G,21/01/2020,2,27,1.802,1.934,7,14
HAIL,Amaryl,08/01/2020,2,15,2.007,2.169,3,17
MABELLA1,Panadol,03/02/2020,2,22,0.21,0.29,1,13
SQGM,Emend,15/02/2020,2,15,0.342,0.42,5,9
SQGM,Panadol,14/01/2020,2,16,0.21,0.29,5,13
NOV 18TH,AM 10 MG TAB,04/01/2020,2,18,1.141,1.267,2,2
SQGM,BE PLUS 30G,25/01/2020,2,2,1.802,1.934,5,14
ALKHUWAIR,Advil,01/01/2020,2,15,0.497,0.582,6,6
MSQ,Risperdal,11/02/2020,2,15,0.975,1.07,7,18
MSQ,Emend,30/01/2020,2,13,0.342,0.42,7,9
SQGM,AL CREAM 15GM,13/01/2020,2,29,0.913,1.026,5,3
W/SALE,AM 10 MG TAB,01/02/2020,2,7,1.141,1.267,9,2
MSQ,Zoloft,16/01/2020,2,14,1.749,1.893,7,12
MABELLA1,Miralax,20/01/2020,2,26,1.921,2.087,1,4
MSQ,Amaryl,21/01/2020,2,15,2.007,2.169,7,17
MARS,Amaryl,12/02/2020,2,17,2.007,2.169,8,17
NOV 18TH,Panadol,22/01/2020,2,25,0.21,0.29,2,13
ALKHUWAIR,Zoloft,30/01/2020,2,7,1.749,1.893,6,12
HAIL,NyQuill,24/01/2020,2,8,1.551,1.688,3,10
MARS,Miralax,12/02/2020,2,10,1.921,2.087,8,4
W/SALE,Miralax,16/01/2020,2,28,1.921,2.087,9,4
SQGM,Emend,13/02/2020,2,8,0.342,0.42,5,9
MSQ,Magne B6,21/01/2020,2,15,1.835,1.98,7,16
HAIL,Visine,04/01/2020,2,5,0.663,0.756,3,5
NOV 18TH,Amaryl,03/01/2020,2,4,2.007,2.169,2,17
HAIL,BON CREAM 15G,07/01/2020,2,9,0.793,0.887,3,19
ALKHUWAIR,NyQuill,12/01/2020,2,23,1.551,1.688,6,10
W/SALE,Visine,01/02/2020,2,14,0.663,0.756,9,5
HAIL,A D  25GM. CREAM,26/01/2020,2,19,1.669,1.808,3,8
SHELL,AM 10 MG TAB,07/01/2020,2,4,1.141,1.267,4,2
SQGM,BON CREAM 15G,07/01/2020,2,20,0.793,0.887,5,19
W/SALE,Zoloft,16/02/2020,2,15,1.749,1.893,9,12
MSQ,Panadol,12/02/2020,2,24,0.21,0.29,7,13
MSQ,NyQuill,17/02/2020,2,19,1.551,1.688,7,10
ALKHUWAIR,BE PLUS 30G,16/01/2020,2,16,1.802,1.934,6,14
MSQ,Zoloft,03/02/2020,2,3,1.749,1.893,7,12
HAIL,Risperdal,18/01/2020,2,22,0.975,1.07,3,18
HAIL,Sebastian 20GM CREAM,25/01/2020,2,25,1.534,1.638,3,7
NOV 18TH,BE PLUS 30G,07/02/2020,2,7,1.802,1.934,2,14
NOV 18TH,Panadol,29/01/2020,2,1,0.21,0.29,2,13
HAIL,Lisinopril,05/02/2020,2,27,1.107,1.206,3,11
MARS,Panadol,09/02/2020,2,11,0.21,0.29,8,13
SQGM,Lisinopril,04/02/2020,2,22,1.107,1.206,5,11
W/SALE,Panadol,08/02/2020,2,7,0.21,0.29,9,13
ALKHUWAIR,A 5 MG TAB,26/01/2020,2,11,1.128,1.218,6,1
HAIL,A D  25GM. CREAM,05/02/2020,2,13,1.669,1.808,3,8
MABELLA1,BE PLUS 30G,16/02/2020,2,22,1.802,1.934,1,14
HAIL,Zovirax,03/02/2020,2,3,1.774,1.897,3,15
SHELL,Zovirax,24/01/2020,2,11,1.774,1.897,4,15
MARS,Emend,27/01/2020,2,21,0.342,0.42,8,9
SHELL,Amaryl,11/02/2020,2,19,2.007,2.169,4,17
W/SALE,AM 10 MG TAB,12/02/2020,2,21,1.141,1.267,9,2
SHELL,Visine,25/01/2020,2,22,0.663,0.756,4,5
W/SALE,Miralax,17/02/2020,2,8,1.921,2.087,9,4
SHELL,BON CREAM 15G,06/01/2020,2,21,0.793,0.887,4,19
NOV 18TH,Emend,15/02/2020,2,25,0.342,0.42,2,9
W/SALE,Miralax,21/01/2020,2,28,1.921,2.087,9,4
W/SALE,Visine,01/01/2020,2,3,0.663,0.756,9,5
SHELL,Panadol,01/01/2020,2,12,0.21,0.29,4,13
MARS,Panadol,30/01/2020,2,25,0.21,0.29,8,13
SQGM,Miralax,09/02/2020,2,18,1.921,2.087,5,4
SHELL,Zovirax,10/02/2020,2,25,1.774,1.897,4,15
SQGM,BE PLUS 30G,29/01/2020,2,29,1.802,1.934,5,14
MARS,NyQuill,29/01/2020,2,14,1.551,1.688,8,10
MSQ,AM 10 MG TAB,25/01/2020,2,6,1.141,1.267,7,2
W/SALE,Emend,12/02/2020,2,15,0.342,0.42,9,9
SQGM,Magne B6,25/01/2020,2,18,1.835,1.98,5,16
MABELLA1,Emend,12/02/2020,2,1,0.342,0.42,1,9
SQGM,A D  25GM. CREAM,22/01/2020,2,4,1.669,1.808,5,8
SHELL,BON CREAM 15G,13/01/2020,2,9,0.793,0.887,4,19
W/SALE,Advil,14/02/2020,2,8,0.497,0.582,9,6
MSQ,NyQuill,07/01/2020,2,22,1.551,1.688,7,10
MABELLA1,Zoloft,20/01/2020,2,23,1.749,1.893,1,12
HAIL,Advil,10/02/2020,2,16,0.497,0.582,3,6
NOV 18TH,Zovirax,29/01/2020,2,13,1.774,1.897,2,15
SHELL,NyQuill,24/01/2020,2,2,1.551,1.688,4,10
MARS,Miralax,03/01/2020,2,1,1.921,2.087,8,4
SQGM,BON CREAM 15G,10/02/2020,2,14,0.793,0.887,5,19
MABELLA1,NyQuill,27/01/2020,2,27,1.551,1.688,1,10
ALKHUWAIR,BE PLUS 30G,07/02/2020,2,3,1.802,1.934,6,14
MABELLA1,Miralax,11/01/2020,2,21,1.921,2.087,1,4
W/SALE,A D  25GM. CREAM,04/01/2020,2,3,1.669,1.808,9,8
MSQ,Zoloft,24/01/2020,2,28,1.749,1.893,7,12
ALKHUWAIR,NyQuill,02/02/2020,2,29,1.551,1.688,6,10
NOV 18TH,Zoloft,04/02/2020,2,17,1.749,1.893,2,12
HAIL,Lisinopril,21/01/2020,2,15,1.107,1.206,3,11
SQGM,AL CREAM 15GM,09/02/2020,2,6,0.913,1.026,5,3
SHELL,A D  25GM. CREAM,11/02/2020,2,2,1.669,1.808,4,8
MABELLA1,Sebastian 20GM CREAM,05/02/2020,2,13,1.534,1.638,1,7
SHELL,Zovirax,15/01/2020,2,22,1.774,1.897,4,15
W/SALE,Zoloft,05/02/2020,2,25,1.749,1.893,9,12
NOV 18TH,Advil,01/01/2020,2,10,0.497,0.582,2,6
MARS,Lisinopril,24/01/2020,2,3,1.107,1.206,8,11
MARS,Lisinopril,03/01/2020,2,24,1.107,1.206,8,11
SQGM,A D  25GM. CREAM,01/01/2020,2,22,1.669,1.808,5,8
SHELL,A 5 MG TAB,12/01/2020,2,9,1.128,1.218,4,1
SQGM,Advil,28/01/2020,2,4,0.497,0.582,5,6
MABELLA1,Risperdal,15/01/2020,2,20,0.975,1.07,1,18
SHELL,Zoloft,05/02/2020,2,23,1.749,1.893,4,12
HAIL,AM 10 MG TAB,02/02/2020,2,20,1.141,1.267,3,2
W/SALE,Risperdal,16/01/2020,2,18,0.975,1.07,9,18
NOV 18TH,BE PLUS 30G,24/01/2020,2,7,1.802,1.934,2,14
MSQ,Lisinopril,08/01/2020,2,3,1.107,1.206,7,11
W/SALE,Emend,06/01/2020,2,13,0.342,0.42,9,9
NOV 18TH,BE PLUS 30G,14/01/2020,2,7,1.802,1.934,2,14
SQGM,A 5 MG TAB,09/02/2020,2,14,1.128,1.218,5,1
SHELL,AL CREAM 15GM,04/01/2020,2,23,0.913,1.026,4,3
MSQ,Visine,06/02/2020,2,24,0.663,0.756,7,5
SHELL,A D  25GM. CREAM,08/02/2020,2,27,1.669,1.808,4,8
NOV 18TH,BON CREAM 15G,25/01/2020,2,6,0.793,0.887,2,19
HAIL,AL CREAM 15GM,16/02/2020,2,4,0.913,1.026,3,3
W/SALE,Advil,07/02/2020,2,19,0.497,0.582,9,6
SHELL,A 5 MG TAB,18/01/2020,2,18,1.128,1.218,4,1
MARS,BE PLUS 30G,13/02/2020,2,29,1.802,1.934,8,14
MSQ,Miralax,27/01/2020,2,19,1.921,2.087,7,4
ALKHUWAIR,Magne B6,31/01/2020,2,26,1.835,1.98,6,16
ALKHUWAIR,A D  25GM. CREAM,26/01/2020,2,24,1.669,1.808,6,8
ALKHUWAIR,A 5 MG TAB,12/01/2020,2,4,1.128,1.218,6,1
MARS,AM 10 MG TAB,13/02/2020,2,12,1.141,1.267,8,2
ALKHUWAIR,Emend,26/01/2020,2,23,0.342,0.42,6,9
SHELL,A D  25GM. CREAM,10/02/2020,2,16,1.669,1.808,4,8
W/SALE,Zovirax,28/01/2020,2,29,1.774,1.897,9,15
ALKHUWAIR,Zoloft,09/02/2020,2,22,1.749,1.893,6,12
NOV 18TH,AL CREAM 15GM,17/01/2020,2,25,0.913,1.026,2,3
ALKHUWAIR,Emend,05/01/2020,2,25,0.342,0.42,6,9
W/SALE,Magne B6,08/02/2020,2,21,1.835,1.98,9,16
SQGM,Zovirax,12/01/2020,2,29,1.774,1.897,5,15
MSQ,BE PLUS 30G,08/01/2020,2,12,1.802,1.934,7,14
SQGM,Advil,16/01/2020,2,27,0.497,0.582,5,6
NOV 18TH,BON CREAM 15G,16/02/2020,2,18,0.793,0.887,2,19
MABELLA1,Emend,04/02/2020,2,16,0.342,0.42,1,9
ALKHUWAIR,AL CREAM 15GM,14/01/2020,2,2,0.913,1.026,6,3
ALKHUWAIR,Lisinopril,08/02/2020,2,20,1.107,1.206,6,11
MARS,AM 10 MG TAB,12/01/2020,2,24,1.141,1.267,8,2
MSQ,BON CREAM 15G,22/01/2020,2,21,0.793,0.887,7,19
MARS,Miralax,03/01/2020,2,16,1.921,2.087,8,4
HAIL,Zoloft,12/02/2020,2,12,1.749,1.893,3,12
SHELL,AL CREAM 15GM,28/01/2020,2,23,0.913,1.026,4,3
SHELL,Magne B6,17/02/2020,2,19,1.835,1.98,4,16
MABELLA1,Lisinopril,22/01/2020,2,20,1.107,1.206,1,11
SQGM,A D  25GM. CREAM,23/01/2020,2,28,1.669,1.808,5,8
SHELL,BE PLUS 30G,10/02/2020,2,9,1.802,1.934,4,14
ALKHUWAIR,Zovirax,14/02/2020,2,24,1.774,1.897,6,15
MABELLA1,Sebastian 20GM CREAM,10/02/2020,2,11,1.534,1.638,1,7
MSQ,NyQuill,11/01/2020,2,5,1.551,1.688,7,10
SQGM,Emend,31/01/2020,2,28,0.342,0.42,5,9
MABELLA1,BON CREAM 15G,03/01/2020,2,29,0.793,0.887,1,19
W/SALE,Lisinopril,17/02/2020,2,17,1.107,1.206,9,11
NOV 18TH,Zovirax,02/02/2020,2,16,1.774,1.897,2,15
SQGM,Zovirax,18/01/2020,2,22,1.774,1.897,5,15
NOV 18TH,AL CREAM 15GM,17/02/2020,2,8,0.913,1.026,2,3
NOV 18TH,BON CREAM 15G,15/01/2020,2,6,0.793,0.887,2,19
MABELLA1,Lisinopril,03/02/2020,2,5,1.107,1.206,1,11
SQGM,Visine,20/01/2020,2,6,0.663,0.756,5,5
MARS,Zovirax,08/02/2020,2,27,1.774,1.897,8,15
HAIL,Risperdal,08/01/2020,2,7,0.975,1.07,3,18
MSQ,Advil,15/02/2020,2,12,0.497,0.582,7,6
SQGM,NyQuill,04/02/2020,2,10,1.551,1.688,5,10
NOV 18TH,Advil,14/01/2020,2,26,0.497,0.582,2,6
NOV 18TH,Risperdal,31/01/2020,2,18,0.975,1.07,2,18
MSQ,Amaryl,23/01/2020,2,16,2.007,2.169,7,17
ALKHUWAIR,Lisinopril,08/01/2020,2,10,1.107,1.206,6,11
ALKHUWAIR,Risperdal,14/02/2020,2,17,0.975,1.07,6,18
ALKHUWAIR,Magne B6,14/01/2020,2,20,1.835,1.98,6,16
W/SALE,Zoloft,02/02/2020,2,2,1.749,1.893,9,12
SHELL,Risperdal,10/02/2020,2,26,0.975,1.07,4,18
SHELL,Lisinopril,14/01/2020,2,4,1.107,1.206,4,11
MARS,BON CREAM 15G,16/01/2020,2,16,0.793,0.887,8,19
MARS,Zoloft,29/01/2020,2,10,1.749,1.893,8,12
NOV 18TH,A D  25GM. CREAM,04/01/2020,2,13,1.669,1.808,2,8
SHELL,Miralax,10/01/2020,2,18,1.921,2.087,4,4
MSQ,Advil,27/01/2020,2,1,0.497,0.582,7,6
HAIL,Lisinopril,03/01/2020,2,26,1.107,1.206,3,11
NOV 18TH,Lisinopril,14/01/2020,2,16,1.107,1.206,2,11
HAIL,Sebastian 20GM CREAM,15/01/2020,2,7,1.534,1.638,3,7
NOV 18TH,AL CREAM 15GM,31/01/2020,2,24,0.913,1.026,2,3
ALKHUWAIR,Risperdal,22/01/2020,2,20,0.975,1.07,6,18
HAIL,Magne B6,24/01/2020,2,18,1.835,1.98,3,16
ALKHUWAIR,NyQuill,15/02/2020,2,13,1.551,1.688,6,10
SHELL,AM 10 MG TAB,02/01/2020,2,2,1.141,1.267,4,2
SQGM,Zoloft,08/01/2020,2,10,1.749,1.893,5,12
NOV 18TH,Panadol,14/01/2020,2,26,0.21,0.29,2,13
NOV 18TH,Amaryl,13/01/2020,2,22,2.007,2.169,2,17
MSQ,Visine,22/01/2020,2,4,0.663,0.756,7,5
MSQ,AL CREAM 15GM,10/01/2020,2,2,0.913,1.026,7,3
SHELL,Zoloft,09/02/2020,2,3,1.749,1.893,4,12
MSQ,Sebastian 20GM CREAM,09/02/2020,2,22,1.534,1.638,7,7
ALKHUWAIR,NyQuill,03/01/2020,2,18,1.551,1.688,6,10
NOV 18TH,Miralax,22/01/2020,2,24,1.921,2.087,2,4
NOV 18TH,Sebastian 20GM CREAM,03/02/2020,2,23,1.534,1.638,2,7
MABELLA1,Miralax,23/01/2020,2,19,1.921,2.087,1,4
W/SALE,Advil,15/02/2020,2,10,0.497,0.582,9,6
HAIL,AL CREAM 15GM,13/02/2020,2,5,0.913,1.026,3,3
MARS,AL CREAM 15GM,10/01/2020,2,1,0.913,1.026,8,3
SQGM,Zoloft,03/01/2020,2,24,1.749,1.893,5,12
HAIL,AL CREAM 15GM,04/01/2020,2,7,0.913,1.026,3,3
MABELLA1,AM 10 MG TAB,28/01/2020,2,11,1.141,1.267,1,2
MSQ,Advil,20/01/2020,2,6,0.497,0.582,7,6
NOV 18TH,NyQuill,02/01/2020,1,8,1.551,1.688,2,10
ALKHUWAIR,Emend,07/02/2020,1,11,0.342,0.42,6,9
SQGM,BE PLUS 30G,10/01/2020,1,14,1.802,1.934,5,14
SQGM,BE PLUS 30G,04/01/2020,1,3,1.802,1.934,5,14
ALKHUWAIR,Magne B6,25/01/2020,1,29,1.835,1.98,6,16
SQGM,Sebastian 20GM CREAM,02/01/2020,1,27,1.534,1.638,5,7
MABELLA1,AM 10 MG TAB,13/02/2020,1,26,1.141,1.267,1,2
HAIL,Miralax,20/01/2020,1,25,1.921,2.087,3,4
NOV 18TH,Emend,16/01/2020,1,5,0.342,0.42,2,9
SHELL,BON CREAM 15G,29/01/2020,1,19,0.793,0.887,4,19
SHELL,Panadol,14/01/2020,1,21,0.21,0.29,4,13
ALKHUWAIR,Advil,24/01/2020,1,9,0.497,0.582,6,6
SHELL,Emend,08/01/2020,1,1,0.342,0.42,4,9
SQGM,BE PLUS 30G,04/02/2020,1,8,1.802,1.934,5,14
NOV 18TH,Zoloft,08/01/2020,1,29,1.749,1.893,2,12
SHELL,Amaryl,22/01/2020,1,10,2.007,2.169,4,17
MARS,AM 10 MG TAB,04/01/2020,1,12,1.141,1.267,8,2
SQGM,A D  25GM. CREAM,19/01/2020,1,14,1.669,1.808,5,8
NOV 18TH,AL CREAM 15GM,15/02/2020,1,6,0.913,1.026,2,3
NOV 18TH,Lisinopril,05/01/2020,1,6,1.107,1.206,2,11
MABELLA1,Zovirax,16/02/2020,1,4,1.774,1.897,1,15
SQGM,AM 10 MG TAB,24/01/2020,1,8,1.141,1.267,5,2
SHELL,A 5 MG TAB,05/01/2020,1,24,1.128,1.218,4,1
ALKHUWAIR,Risperdal,14/01/2020,1,28,0.975,1.07,6,18
SQGM,Visine,15/02/2020,1,16,0.663,0.756,5,5
MABELLA1,NyQuill,04/01/2020,1,10,1.551,1.688,1,10
SHELL,Magne B6,15/01/2020,1,27,1.835,1.98,4,16
NOV 18TH,Zoloft,16/02/2020,1,1,1.749,1.893,2,12
HAIL,Amaryl,07/01/2020,1,8,2.007,2.169,3,17
MSQ,NyQuill,24/01/2020,1,9,1.551,1.688,7,10
W/SALE,A D  25GM. CREAM,13/02/2020,1,4,1.669,1.808,9,8
NOV 18TH,Advil,11/02/2020,1,13,0.497,0.582,2,6
MABELLA1,Lisinopril,19/01/2020,1,19,1.107,1.206,1,11
SHELL,A D  25GM. CREAM,14/01/2020,1,9,1.669,1.808,4,8
NOV 18TH,A 5 MG TAB,21/01/2020,1,4,1.128,1.218,2,1
MARS,Advil,02/01/2020,1,4,0.497,0.582,8,6
NOV 18TH,Magne B6,03/01/2020,1,15,1.835,1.98,2,16
MABELLA1,Miralax,24/01/2020,1,2,1.921,2.087,1,4
SQGM,BON CREAM 15G,05/01/2020,1,5,0.793,0.887,5,19
MSQ,Miralax,30/01/2020,1,11,1.921,2.087,7,4
MARS,Zovirax,02/01/2020,1,18,1.774,1.897,8,15
SHELL,Risperdal,11/02/2020,1,16,0.975,1.07,4,18
ALKHUWAIR,NyQuill,15/02/2020,1,10,1.551,1.688,6,10
MSQ,Sebastian 20GM CREAM,12/02/2020,1,6,1.534,1.638,7,7
HAIL,Zovirax,03/02/2020,1,21,1.774,1.897,3,15
SQGM,Miralax,13/01/2020,1,13,1.921,2.087,5,4
HAIL,Amaryl,12/01/2020,1,14,2.007,2.169,3,17
HAIL,Miralax,01/02/2020,1,23,1.921,2.087,3,4
SHELL,AM 10 MG TAB,31/01/2020,1,29,1.141,1.267,4,2
W/SALE,Zoloft,17/01/2020,1,18,1.749,1.893,9,12
MABELLA1,Zovirax,04/01/2020,1,19,1.774,1.897,1,15
SHELL,BE PLUS 30G,22/01/2020,1,13,1.802,1.934,4,14
NOV 18TH,Lisinopril,10/02/2020,1,23,1.107,1.206,2,11
MABELLA1,A 5 MG TAB,12/01/2020,1,5,1.128,1.218,1,1
MABELLA1,Amaryl,15/02/2020,1,21,2.007,2.169,1,17
MARS,Lisinopril,09/02/2020,1,20,1.107,1.206,8,11
ALKHUWAIR,Panadol,26/01/2020,1,18,0.21,0.29,6,13
W/SALE,Panadol,17/01/2020,1,28,0.21,0.29,9,13
MABELLA1,A D  25GM. CREAM,07/01/2020,1,14,1.669,1.808,1,8
MSQ,Amaryl,26/01/2020,1,9,2.007,2.169,7,17
MABELLA1,A 5 MG TAB,16/02/2020,1,2,1.128,1.218,1,1
MARS,Amaryl,04/01/2020,1,26,2.007,2.169,8,17
HAIL,Magne B6,10/02/2020,1,27,1.835,1.98,3,16
MSQ,Lisinopril,03/02/2020,1,2,1.107,1.206,7,11
SQGM,Miralax,25/01/2020,1,29,1.921,2.087,5,4
W/SALE,A D  25GM. CREAM,13/01/2020,1,23,1.669,1.808,9,8
HAIL,BON CREAM 15G,14/02/2020,1,29,0.793,0.887,3,19
MABELLA1,Panadol,08/02/2020,1,25,0.21,0.29,1,13
ALKHUWAIR,BE PLUS 30G,08/02/2020,1,24,1.802,1.934,6,14
W/SALE,BE PLUS 30G,30/01/2020,1,14,1.802,1.934,9,14
SQGM,AM 10 MG TAB,07/02/2020,1,10,1.141,1.267,5,2
HAIL,Advil,09/02/2020,1,9,0.497,0.582,3,6
MABELLA1,Zovirax,10/02/2020,1,18,1.774,1.897,1,15
NOV 18TH,Sebastian 20GM CREAM,14/01/2020,1,23,1.534,1.638,2,7
SQGM,Zovirax,23/01/2020,1,27,1.774,1.897,5,15
SQGM,AM 10 MG TAB,15/02/2020,1,18,1.141,1.267,5,2
SHELL,Sebastian 20GM CREAM,07/01/2020,1,13,1.534,1.638,4,7
W/SALE,Visine,06/02/2020,1,17,0.663,0.756,9,5
HAIL,A 5 MG TAB,26/01/2020,1,10,1.128,1.218,3,1
SQGM,Lisinopril,26/01/2020,1,2,1.107,1.206,5,11
SQGM,Advil,02/01/2020,1,25,0.497,0.582,5,6
SQGM,NyQuill,03/01/2020,1,25,1.551,1.688,5,10
ALKHUWAIR,Zovirax,30/01/2020,1,8,1.774,1.897,6,15
ALKHUWAIR,A 5 MG TAB,27/01/2020,1,10,1.128,1.218,6,1
NOV 18TH,Sebastian 20GM CREAM,11/01/2020,1,26,1.534,1.638,2,7
MARS,Emend,07/02/2020,1,15,0.342,0.42,8,9
HAIL,Panadol,21/01/2020,1,6,0.21,0.29,3,13
SHELL,AM 10 MG TAB,12/02/2020,1,9,1.141,1.267,4,2
ALKHUWAIR,Zoloft,15/02/2020,1,3,1.749,1.893,6,12
W/SALE,Visine,13/01/2020,1,2,0.663,0.756,9,5
MSQ,Panadol,14/01/2020,1,10,0.21,0.29,7,13
MSQ,AL CREAM 15GM,11/01/2020,1,4,0.913,1.026,7,3
MABELLA1,A D  25GM. CREAM,19/01/2020,1,12,1.669,1.808,1,8
SHELL,AM 10 MG TAB,06/01/2020,1,23,1.141,1.267,4,2
NOV 18TH,AM 10 MG TAB,11/01/2020,1,9,1.141,1.267,2,2
MARS,AL CREAM 15GM,04/02/2020,1,28,0.913,1.026,8,3
MABELLA1,BE PLUS 30G,24/01/2020,1,3,1.802,1.934,1,14
W/SALE,Risperdal,16/01/2020,1,15,0.975,1.07,9,18
ALKHUWAIR,Panadol,26/01/2020,1,29,0.21,0.29,6,13
ALKHUWAIR,Risperdal,03/02/2020,1,11,0.975,1.07,6,18
HAIL,Zoloft,16/01/2020,1,4,1.749,1.893,3,12
HAIL,Visine,15/02/2020,1,9,0.663,0.756,3,5
HAIL,Zoloft,05/01/2020,1,7,1.749,1.893,3,12
ALKHUWAIR,Emend,22/01/2020,1,8,0.342,0.42,6,9
NOV 18TH,AL CREAM 15GM,23/01/2020,1,27,0.913,1.026,2,3
MSQ,Zoloft,30/01/2020,1,26,1.749,1.893,7,12
MSQ,AL CREAM 15GM,02/02/2020,1,1,0.913,1.026,7,3
MABELLA1,BON CREAM 15G,21/01/2020,1,23,0.793,0.887,1,19
MARS,Advil,04/02/2020,1,3,0.497,0.582,8,6
ALKHUWAIR,Advil,10/02/2020,1,10,0.497,0.582,6,6
MSQ,Advil,27/01/2020,1,27,0.497,0.582,7,6
MARS,A D  25GM. CREAM,31/01/2020,1,20,1.669,1.808,8,8
MSQ,AL CREAM 15GM,03/02/2020,1,13,0.913,1.026,7,3
SHELL,Miralax,15/01/2020,1,15,1.921,2.087,4,4
SQGM,BON CREAM 15G,22/01/2020,1,4,0.793,0.887,5,19
W/SALE,NyQuill,08/02/2020,1,28,1.551,1.688,9,10
MSQ,BON CREAM 15G,12/02/2020,1,23,0.793,0.887,7,19
MABELLA1,BE PLUS 30G,05/02/2020,1,27,1.802,1.934,1,14
MSQ,A 5 MG TAB,02/01/2020,1,29,1.128,1.218,7,1
W/SALE,Magne B6,14/02/2020,1,10,1.835,1.98,9,16
W/SALE,AM 10 MG TAB,02/01/2020,1,19,1.141,1.267,9,2
MARS,Visine,04/02/2020,1,3,0.663,0.756,8,5
HAIL,Amaryl,13/01/2020,1,18,2.007,2.169,3,17
MABELLA1,Panadol,11/02/2020,1,21,0.21,0.29,1,13
HAIL,Zovirax,15/01/2020,1,13,1.774,1.897,3,15
NOV 18TH,BE PLUS 30G,14/01/2020,1,24,1.802,1.934,2,14
W/SALE,Advil,16/01/2020,1,28,0.497,0.582,9,6
ALKHUWAIR,Visine,15/01/2020,1,10,0.663,0.756,6,5
HAIL,BON CREAM 15G,18/01/2020,1,14,0.793,0.887,3,19
MARS,Risperdal,05/02/2020,1,18,0.975,1.07,8,18
HAIL,NyQuill,15/02/2020,1,6,1.551,1.688,3,10
W/SALE,BON CREAM 15G,30/01/2020,1,1,0.793,0.887,9,19
HAIL,Magne B6,04/02/2020,1,16,1.835,1.98,3,16
SQGM,Panadol,17/02/2020,1,8,0.21,0.29,5,13
NOV 18TH,Emend,26/01/2020,1,2,0.342,0.42,2,9
NOV 18TH,Zovirax,12/01/2020,1,2,1.774,1.897,2,15
SQGM,AM 10 MG TAB,03/01/2020,1,8,1.141,1.267,5,2
MSQ,NyQuill,31/01/2020,1,1,1.551,1.688,7,10
HAIL,Risperdal,02/02/2020,1,28,0.975,1.07,3,18
MARS,Miralax,18/01/2020,1,3,1.921,2.087,8,4
W/SALE,Miralax,04/01/2020,1,25,1.921,2.087,9,4
HAIL,AL CREAM 15GM,09/02/2020,1,4,0.913,1.026,3,3
MABELLA1,Emend,05/02/2020,1,4,0.342,0.42,1,9
NOV 18TH,Magne B6,05/02/2020,1,2,1.835,1.98,2,16
MABELLA1,Miralax,27/01/2020,1,10,1.921,2.087,1,4
W/SALE,Panadol,23/01/2020,1,24,0.21,0.29,9,13
SQGM,Advil,14/01/2020,1,28,0.497,0.582,5,6
MARS,Risperdal,06/02/2020,1,23,0.975,1.07,8,18
ALKHUWAIR,Amaryl,18/01/2020,1,29,2.007,2.169,6,17
W/SALE,BE PLUS 30G,05/02/2020,1,10,1.802,1.934,9,14
NOV 18TH,Risperdal,11/01/2020,1,12,0.975,1.07,2,18
MABELLA1,Risperdal,02/01/2020,1,20,0.975,1.07,1,18
NOV 18TH,Panadol,16/02/2020,1,26,0.21,0.29,2,13
MABELLA1,Zovirax,09/02/2020,1,29,1.774,1.897,1,15
SHELL,Zoloft,05/02/2020,1,4,1.749,1.893,4,12
MARS,AM 10 MG TAB,28/01/2020,1,16,1.141,1.267,8,2
W/SALE,NyQuill,01/01/2020,1,29,1.551,1.688,9,10
NOV 18TH,Miralax,31/01/2020,1,13,1.921,2.087,2,4
HAIL,Zovirax,06/01/2020,1,6,1.774,1.897,3,15
MSQ,Magne B6,22/01/2020,1,22,1.835,1.98,7,16
ALKHUWAIR,Visine,02/01/2020,1,18,0.663,0.756,6,5
SHELL,Risperdal,31/01/2020,1,19,0.975,1.07,4,18
MABELLA1,Emend,20/01/2020,1,6,0.342,0.42,1,9
SHELL,Risperdal,06/01/2020,1,10,0.975,1.07,4,18
SQGM,A 5 MG TAB,06/02/2020,1,27,1.128,1.218,5,1
MARS,Zoloft,11/01/2020,1,1,1.749,1.893,8,12
SHELL,Visine,07/01/2020,1,25,0.663,0.756,4,5
MSQ,NyQuill,14/01/2020,1,27,1.551,1.688,7,10
NOV 18TH,Magne B6,25/01/2020,1,1,1.835,1.98,2,16
